user_id,call_drtn_mthly,gt0_call_mthly,zero_call_mthly,gb_mthly,msg_mthly,xtr_prft_cll_msg_int,xtr_prft_cll_mthly,xtr_prft_msg_mthly,xtr_prft_int_mthly,user_packege,mnts_ndd_mthly_bll,msg_ndd_mthly_bll,gb_ndd_mthly_bll
1010,"[32, 86, 26, 82, 77, 146, 99, 203, 0]","[63, 70, 68, 69, 74, 82, 72, 80, 3]","[19, 15, 19, 15, 21, 9, 19, 15, 0]","[1, 4, 3, 0, 1, 5, 0, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.96, 42.58, 30.78, 2.46, 12.31, 54.38, 2.9699999999999998, 46.09, 0.0]","[0.96, 2.58, 0.78, 2.46, 2.31, 4.38, 2.9699999999999998, 6.09, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 40, 30, 0, 10, 50, 0, 40, 0]",surf,"[531.24, 585.5, 525.8199999999999, 581.32, 576.6500000000001, 645.55, 598.98, 702.94, 40.86]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 19, 18, 12, 16, 20, 15, 19, 5]"
1011,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 38, 54, 58, 48, 59, 56]","[0, 0, 0, 0, 0, 11, 12, 17, 19, 10, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ultimate,"[0.0, 0.0, 0.0, 0.0, 0.0, 367.66, 469.09, 509.47999999999996, 384.82, 489.34, 439.41999999999996]","[0, 0, 0, 0, 0, 58, 46, 58, 55, 69, 61]","[0, 0, 0, 0, 0, 18, 19, 22, 17, 26, 23]"
1012,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 9, 12]","[0, 0, 0, 0, 1, 4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]",surf,"[0.0, 0.0, 0.0, 0.0, 71.42, 72.31]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 12, 13]"
1013,,,,,,,,,,,,,
1014,[442],[116],[25],[0],[9],[13.53],[13.26],[0.27],[0],surf,[942.08],[59],[9]
1015,,,,,,,,,,,,,
1016,"[166, 231]","[85, 86]","[17, 18]","[11, 9]","[0, 0]","[114.98, 96.93]","[4.9799999999999995, 6.93]","[0.0, 0.0]","[110, 90]",surf,"[665.7300000000001, 730.89]","[43, 42]","[26, 24]"
1017,"[0, 0, 0, 0]","[51, 46, 48, 51]","[9, 16, 14, 17]","[7, 12, 8, 4]","[0, 0, 0, 0]","[70.0, 120.0, 80.0, 40.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[70, 120, 80, 40]",surf,"[361.04999999999995, 323.65999999999997, 381.54, 448.52]","[35, 38, 30, 38]","[22, 27, 23, 19]"
1018,"[50, 0]","[61, 62]","[14, 14]","[3, 0]","[0, 0]","[31.5, 0.0]","[1.5, 0.0]","[0.0, 0.0]","[30, 0]",surf,"[549.7299999999999, 492.86000000000007]","[5, 9]","[18, 15]"
1019,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8999999999999999]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30]",surf,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 231.55]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18]"
1020,[0],[59],[10],[3],[0],[30.0],[0.0],[0.0],[30],surf,[490.94000000000005],[1],[18]
1021,,,,,,,,,,,,,
1022,"[0, 80, 0, 123, 0, 0, 83, 0]","[0, 70, 64, 67, 56, 62, 70, 57]","[0, 15, 12, 10, 13, 13, 14, 20]","[0, 4, 0, 1, 6, 1, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 42.4, 0.0, 13.69, 60.0, 10.0, 52.49, 50.0]","[0.0, 2.4, 0.0, 3.69, 0.0, 0.0, 2.4899999999999998, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 40, 0, 10, 60, 10, 50, 50]",surf,"[0.0, 579.6799999999998, 408.36, 623.13, 483.16999999999996, 480.77000000000004, 582.62, 466.1700000000001]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 14, 16, 21, 16, 20, 20]"
1023,"[0, 0, 0, 0, 0]","[9, 5, 0, 0, 0]","[2, 2, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",surf,"[64.25, 42.540000000000006, 0.0, 0.0, 0.0]","[7, 4, 0, 0, 0]","[12, 7, 0, 0, 0]"
1024,"[0, 0, 0, 0]","[0, 0, 0, 40]","[0, 0, 0, 9]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]",surf,"[0.0, 0.0, 0.0, 306.82000000000005]","[0, 0, 0, 0]","[0, 0, 0, 6]"
1025,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]",ultimate,"[0.0, 0.0]","[0, 0]","[0, 0]"
1026,"[0, 0, 0, 0, 0]","[42, 0, 0, 0, 0]","[15, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",ultimate,"[335.64, 0.0, 0.0, 0.0, 0.0]","[22, 0, 0, 0, 0]","[13, 0, 0, 0, 0]"
1027,"[0, 0, 0, 0, 0, 0]","[30, 39, 47, 45, 45, 40]","[4, 10, 11, 9, 13, 8]","[0, 3, 4, 0, 3, 0]","[0, 0, 0, 0, 0, 0]","[0.0, 30.0, 40.0, 0.0, 30.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 30, 40, 0, 30, 0]",surf,"[271.31, 348.8100000000002, 309.0899999999999, 386.6, 413.67, 266.45000000000005]","[16, 13, 11, 14, 9, 12]","[9, 18, 19, 13, 18, 12]"
1028,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 4, 9, 7, 8, 6, 5, 5, 8, 6]","[2, 0, 2, 2, 0, 2, 2, 0, 0, 0]","[6, 9, 0, 10, 2, 15, 0, 11, 13, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42.0, 63.0, 0.0, 70.0, 14.0, 105.0, 0.0, 77.0, 91.0, 35.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42, 63, 0, 70, 14, 105, 0, 77, 91, 35]",ultimate,"[11.75, 42.61, 71.28999999999999, 56.629999999999995, 56.95, 37.59, 53.72, 30.11, 66.84, 43.77]","[53, 74, 85, 71, 78, 74, 76, 71, 72, 80]","[36, 39, 29, 40, 32, 45, 30, 41, 43, 35]"
1029,"[0, 0, 0, 0, 0, 0, 0, 0, 249, 164, 56]","[0, 0, 0, 0, 0, 0, 0, 14, 95, 76, 71]","[0, 0, 0, 0, 0, 0, 0, 10, 18, 14, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.47, 34.92, 11.68]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.47, 4.92, 1.68]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10]",surf,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.88999999999999, 748.8400000000001, 663.29, 555.8700000000001]","[0, 0, 0, 0, 0, 0, 0, 4, 9, 11, 15]","[0, 0, 0, 0, 0, 0, 0, 3, 14, 18, 16]"
1030,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 18, 61, 61]","[0, 0, 0, 0, 0, 0, 0, 4, 20, 16]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ultimate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.46000000000001, 491.5, 481.16999999999996]","[0, 0, 0, 0, 0, 0, 0, 3, 9, 11]","[0, 0, 0, 0, 0, 0, 0, 4, 15, 16]"
1031,"[0, 0, 0, 0, 0]","[49, 56, 61, 62, 80]","[10, 12, 15, 15, 18]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",ultimate,"[421.70000000000005, 473.15, 550.43, 483.5, 703.4000000000001]","[1, 4, 1, 2, 4]","[21, 17, 13, 23, 12]"
1032,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 56]","[0, 0, 0, 0, 0, 10]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]",ultimate,"[0.0, 0.0, 0.0, 0.0, 0.0, 467.63]","[0, 0, 0, 0, 0, 28]","[0, 0, 0, 0, 0, 17]"
1033,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 20, 83, 103, 71]","[0, 0, 0, 5, 23, 15, 21]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0]",ultimate,"[0.0, 0.0, 0.0, 143.70000000000002, 787.4399999999999, 902.8099999999998, 528.66]","[0, 0, 0, 4, 34, 35, 32]","[0, 0, 0, 5, 27, 28, 21]"
1034,"[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]",surf,"[5.3100000000000005, 0.0, 0.0, 0.0]","[4, 0, 0, 0]","[1, 0, 0, 0]"
1035,,,,,,,,,,,,,
1036,"[0, 0, 0, 0, 0, 0, 0]","[0, 31, 60, 55, 42, 52, 57]","[0, 4, 14, 17, 19, 17, 16]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0]",ultimate,"[0.0, 267.09, 541.26, 416.50999999999993, 327.48, 365.34000000000003, 524.1]","[0, 39, 62, 80, 81, 72, 81]","[0, 6, 14, 18, 11, 13, 13]"
1037,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]",ultimate,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
1038,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 54, 55]","[0, 0, 0, 1, 21, 15]","[0, 0, 0, 0, 14, 17]","[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 98.0, 119.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 98, 119]",ultimate,"[0.0, 0.0, 0.0, 25.24, 469.70000000000005, 376.67]","[0, 0, 0, 18, 99, 114]","[0, 0, 0, 6, 44, 47]"
1039,"[0, 0, 0, 0, 0, 0, 0]","[34, 56, 60, 53, 47, 58, 54]","[3, 11, 22, 14, 9, 18, 16]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0]",ultimate,"[284.05, 427.40999999999997, 404.28, 472.35, 421.24, 488.81, 490.39000000000004]","[4, 30, 22, 26, 17, 23, 25]","[6, 19, 23, 19, 13, 27, 19]"
1040,,,,,,,,,,,,,
1041,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 46, 41, 50, 49, 47, 50, 42, 40]","[3, 6, 11, 11, 6, 10, 9, 14, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",ultimate,"[216.76999999999998, 456.2300000000001, 293.24, 400.2, 442.41999999999996, 425.21000000000004, 367.49, 330.02000000000004, 356.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 19, 20, 20, 25, 24, 20, 24, 20]"
1042,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 28, 33, 34, 38, 43, 42, 34, 31, 31, 43]","[12, 7, 11, 7, 12, 9, 6, 9, 9, 12, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",surf,"[221.93, 249.22, 211.97000000000003, 380.47, 343.35, 400.77, 330.67999999999995, 307.88000000000005, 223.98000000000002, 276.59, 374.67999999999995]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 6, 9, 5, 12, 7, 9, 9, 12, 6, 9]"
1043,"[0, 0, 0, 0, 0, 0]","[34, 19, 23, 17, 22, 21]","[7, 4, 6, 6, 3, 4]","[0, 0, 6, 0, 0, 6]","[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 42.0, 0.0, 0.0, 42.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 42, 0, 0, 42]",ultimate,"[317.20000000000005, 134.64000000000001, 158.83, 175.59, 189.15, 148.93999999999997]","[75, 105, 95, 102, 99, 94]","[29, 24, 36, 30, 30, 36]"
1044,"[0, 0, 0, 0]","[33, 23, 38, 33]","[3, 9, 11, 6]","[7, 4, 11, 0]","[0, 0, 0, 0]","[70.0, 40.0, 110.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[70, 40, 110, 0]",surf,"[341.45, 156.94, 297.8900000000001, 289.22999999999996]","[46, 44, 38, 30]","[22, 19, 26, 14]"
1045,"[31, 69]","[72, 66]","[14, 17]","[6, 5]","[4, 0]","[61.05, 52.07]","[0.9299999999999999, 2.07]","[0.12, 0.0]","[60, 50]",surf,"[530.27, 568.67]","[54, 43]","[21, 20]"
1046,"[0, 0, 0, 0, 33, 0, 51, 0, 69, 3]","[0, 0, 0, 17, 71, 59, 61, 54, 64, 61]","[0, 0, 0, 1, 12, 11, 19, 17, 23, 14]","[0, 0, 0, 0, 8, 7, 12, 10, 9, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 80.99, 70.0, 121.53, 100.0, 92.07, 40.09]","[0.0, 0.0, 0.0, 0.0, 0.99, 0.0, 1.53, 0.0, 2.07, 0.09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 80, 70, 120, 100, 90, 40]",surf,"[0.0, 0.0, 0.0, 117.8, 532.37, 404.14, 550.2299999999999, 393.2, 568.6199999999999, 502.6500000000001]","[0, 0, 0, 6, 44, 43, 38, 33, 36, 24]","[0, 0, 0, 3, 23, 22, 27, 25, 24, 19]"
1047,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 19]","[0, 0, 0, 0, 0, 4]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0]",ultimate,"[0.0, 0.0, 0.0, 0.0, 0.0, 168.69]","[0, 0, 0, 0, 0, 5]","[0, 0, 0, 0, 0, 7]"
1048,"[0, 0, 0, 0]","[31, 20, 22, 28]","[8, 7, 9, 3]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]",surf,"[266.5, 214.01999999999998, 179.01999999999998, 219.92999999999998]","[0, 0, 0, 0]","[10, 12, 10, 9]"
1049,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 11, 34, 27, 40, 37, 44, 43, 36, 29]","[0, 2, 12, 10, 12, 10, 10, 6, 9, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",surf,"[0.0, 90.21999999999998, 333.37999999999994, 258.5, 341.49, 275.96, 368.69, 339.96999999999997, 278.73999999999995, 311.49999999999994]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 9, 9, 9, 8, 11, 8, 9, 10]"
1050,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 40, 55, 38, 49, 45, 43, 38, 46]","[12, 13, 11, 10, 12, 9, 13, 10, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",ultimate,"[364.76, 300.79, 527.94, 306.4099999999999, 403.63, 355.60999999999996, 346.87000000000006, 323.67, 316.16999999999996]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 16, 17, 16, 11, 20, 17, 22, 15]"
1051,,,,,,,,,,,,,
1052,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 34]","[0, 0, 0, 0, 0, 0, 0, 0, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 43]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",surf,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 341.76]","[0, 0, 0, 0, 0, 0, 0, 0, 93]","[0, 0, 0, 0, 0, 0, 0, 0, 9]"
